[2019-11-12 11:13:51 116] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 11:13:51 173] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 11:22:16 763] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 11:22:16 817] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 13:18:43 172] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 13:18:43 245] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 14:48:51 210] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 14:48:51 254] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 14:58:55 587] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 14:58:55 635] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 15:16:21 601] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 15:16:21 673] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 18:09:51 443] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 18:09:51 503] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
[2019-11-12 18:17:01 853] INFO  [FxmlCbsConnector initObj 116] - Cbs Pool Size=[10]
[2019-11-12 18:17:01 929] INFO  [FxmlCbsConnector Connect 71] - Start [FxmlCbsConnector] Connector Service and send to [fxmlCbsConnectorQ]
